# Результаты расчета кинематики КШМ
# Дата создания: Tue Oct 21 22:38:43 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

ГЛАВНЫЙ ЦИЛИНДР:
==================================================================================================================================
|  α [град] |   S полн [м]  |   S1 [м]   |   S2 [м]   |  V полн [м/с] |   V1 [м/с]  |   V2 [м/с]  | A полн [м/с²] |  A1 [м/с²]  |  A2 [м/с²]  |
|  131.0000 |       0.0348 |     0.0331 |     0.0017 |        6.0939 |      7.5872 |     -1.4933 |    -3526.2045 |  -3315.2221 |   -210.9824 |
|  132.0000 |       0.0350 |     0.0334 |     0.0017 |        5.9712 |      7.4709 |     -1.4997 |    -3539.7380 |  -3381.2758 |   -158.4621 |
|  133.0000 |       0.0352 |     0.0336 |     0.0016 |        5.8481 |      7.3524 |     -1.5043 |    -3552.0485 |  -3446.2997 |   -105.7488 |
|  134.0000 |       0.0354 |     0.0339 |     0.0016 |        5.7245 |      7.2316 |     -1.5070 |    -3563.1803 |  -3510.2737 |    -52.9066 |
|  135.0000 |       0.0356 |     0.0341 |     0.0015 |        5.6006 |      7.1086 |     -1.5080 |    -3573.1785 |  -3573.1785 |     -0.0000 |
|  136.0000 |       0.0358 |     0.0344 |     0.0014 |        5.4764 |      6.9835 |     -1.5070 |    -3582.0882 |  -3634.9948 |     52.9066 |
|  137.0000 |       0.0360 |     0.0346 |     0.0014 |        5.3519 |      6.8562 |     -1.5043 |    -3589.9551 |  -3695.7039 |    105.7488 |
|  138.0000 |       0.0362 |     0.0349 |     0.0013 |        5.2271 |      6.7268 |     -1.4997 |    -3596.8251 |  -3755.2873 |    158.4621 |
|  139.0000 |       0.0364 |     0.0351 |     0.0013 |        5.1021 |      6.5954 |     -1.4933 |    -3602.7443 |  -3813.7267 |    210.9824 |
|  140.0000 |       0.0366 |     0.0353 |     0.0012 |        4.9770 |      6.4620 |     -1.4851 |    -3607.7588 |  -3871.0045 |    263.2456 |
|  141.0000 |       0.0367 |     0.0355 |     0.0012 |        4.8516 |      6.3266 |     -1.4750 |    -3611.9149 |  -3927.1031 |    315.1881 |
|  142.0000 |       0.0369 |     0.0358 |     0.0011 |        4.7261 |      6.1893 |     -1.4632 |    -3615.2588 |  -3982.0055 |    366.7466 |
|  143.0000 |       0.0371 |     0.0360 |     0.0011 |        4.6006 |      6.0501 |     -1.4495 |    -3617.8366 |  -4035.6949 |    417.8583 |
|  144.0000 |       0.0372 |     0.0362 |     0.0010 |        4.4749 |      5.9091 |     -1.4342 |    -3619.6941 |  -4088.1550 |    468.4609 |
|  145.0000 |       0.0374 |     0.0364 |     0.0010 |        4.3492 |      5.7662 |     -1.4170 |    -3620.8771 |  -4139.3698 |    518.4927 |
