# Результаты расчета кинематики КШМ
# Дата создания: Sun Oct 26 22:47:46 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

alpha[град];stroke_full[м];velocity_full[м/с];acceleration_full[м/с²];betta_rod[рад];omega_rod[рад/с];eps_rod[рад/с²]
302.000000;0.011595;-9.926974;2021.102660;-14.738890;82.628820;62543.805949
303.000000;0.011252;-9.854619;2146.494989;-14.572281;84.859476;61758.209980
304.000000;0.010911;-9.777914;2271.688494;-14.401265;87.059929;60954.765694
305.000000;0.010573;-9.696866;2396.591559;-14.225901;89.229571;60133.940831
306.000000;0.010238;-9.611488;2521.112693;-14.046253;91.367815;59296.203650
307.000000;0.009905;-9.521794;2645.160653;-13.862382;93.474094;58442.022188
308.000000;0.009576;-9.427803;2768.644552;-13.674353;95.547864;57571.863550
309.000000;0.009251;-9.329535;2891.473969;-13.482231;97.588599;56686.193228
310.000000;0.008929;-9.227015;3013.559050;-13.286082;99.595797;55785.474447
311.000000;0.008610;-9.120270;3134.810615;-13.085974;101.568973;54870.167540
312.000000;0.008295;-9.009330;3255.140250;-12.881975;103.507663;53940.729363
313.000000;0.007984;-8.894230;3374.460403;-12.674153;105.411425;52997.612732
314.000000;0.007678;-8.775005;3492.684468;-12.462580;107.279832;52041.265898
