# Результаты расчета кинематики КШМ
# Дата создания: Sat Nov 08 18:34:09 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

ГЛАВНЫЙ ЦИЛИНДР:
==================================================================================================================================
|  α [град] |   S полн [м]  |   S1 [м]   |   S2 [м]   |  V полн [м/с] |   V1 [м/с]  |   V2 [м/с]  | A полн [м/с²] |  A1 [м/с²]  |  A2 [м/с²]  |
|  145.0000 |       0.0374 |     0.0364 |     0.0010 |        4.3277 |      5.7662 |     -1.4170 |    -3581.5180 |  -4139.3698 |    518.4927 |
|  146.0000 |       0.0375 |     0.0366 |     0.0009 |        4.2034 |      5.6216 |     -1.3982 |    -3582.6615 |  -4189.3237 |    567.8928 |
|  147.0000 |       0.0377 |     0.0368 |     0.0009 |        4.0789 |      5.4753 |     -1.3776 |    -3583.3556 |  -4238.0015 |    616.6011 |
|  148.0000 |       0.0378 |     0.0370 |     0.0008 |        3.9545 |      5.3273 |     -1.3553 |    -3583.6368 |  -4285.3884 |    664.5580 |
|  149.0000 |       0.0379 |     0.0371 |     0.0008 |        3.8301 |      5.1777 |     -1.3315 |    -3583.5407 |  -4331.4699 |    711.7054 |
|  150.0000 |       0.0381 |     0.0373 |     0.0007 |        3.7057 |      5.0265 |     -1.3059 |    -3583.1021 |  -4376.2320 |    757.9856 |
|  151.0000 |       0.0382 |     0.0375 |     0.0007 |        3.5813 |      4.8738 |     -1.2788 |    -3582.3542 |  -4419.6611 |    803.3424 |
|  152.0000 |       0.0383 |     0.0377 |     0.0007 |        3.4569 |      4.7196 |     -1.2502 |    -3581.3297 |  -4461.7438 |    847.7204 |
|  153.0000 |       0.0384 |     0.0378 |     0.0006 |        3.3326 |      4.5640 |     -1.2200 |    -3580.0600 |  -4502.4675 |    891.0655 |
|  154.0000 |       0.0386 |     0.0380 |     0.0006 |        3.2083 |      4.4070 |     -1.1883 |    -3578.5752 |  -4541.8197 |    933.3251 |
|  155.0000 |       0.0387 |     0.0381 |     0.0005 |        3.0841 |      4.2486 |     -1.1552 |    -3576.9046 |  -4579.7885 |    974.4475 |
|  156.0000 |       0.0388 |     0.0383 |     0.0005 |        2.9599 |      4.0890 |     -1.1206 |    -3575.0763 |  -4616.3621 |   1014.3828 |
|  157.0000 |       0.0389 |     0.0384 |     0.0005 |        2.8358 |      3.9281 |     -1.0847 |    -3573.1172 |  -4651.5296 |   1053.0821 |
