alpha_deg,P_gas_N,F_in_N,F_sum_N,beta_rad,K_N,N_N,Z_N,T_N,M_Nm,a_p_mps2
164.5,1194.59,8033.16,9227.75,0.0891977,9264.58,825.283,-9112.68,1670.74,91.8907,-4173.9
165,1194.59,8023.9,9218.49,0.0863804,9252.99,798.283,-9110.99,1614.84,88.8161,-4169.09
165.5,1194.59,8014.86,9209.45,0.0835572,9241.69,771.311,-9109.22,1559.12,85.7515,-4164.39
166,1194.59,8006.04,9200.63,0.0807283,9230.69,744.369,-9107.41,1503.58,82.6967,-4159.81
166.5,1194.59,7997.45,9192.04,0.0778939,9220,717.455,-9105.55,1448.21,79.6514,-4155.34
167,1194.59,7989.11,9183.7,0.0750541,9209.63,690.572,-9103.67,1393.01,76.6156,-4151.01
167.5,1194.59,7981.01,9175.6,0.0722093,9199.58,663.718,-9101.76,1337.98,73.5889,-4146.8
168,1194.59,7973.17,9167.76,0.0693595,9189.86,636.893,-9099.84,1283.11,70.571,-4142.73
168.5,1194.59,7965.6,9160.19,0.066505,9180.48,610.098,-9097.93,1228.4,67.5619,-4138.79
169,1194.59,7958.29,9152.88,0.063646,9171.45,583.332,-9096.02,1173.84,64.5611,-4135
169.5,1194.59,7951.26,9145.85,0.0607826,9162.77,556.594,-9094.14,1119.43,61.5684,-4131.35
170,1194.59,7944.52,9139.11,0.0579151,9154.46,529.885,-9092.28,1065.15,58.5835,-4127.84
170.5,1194.59,7938.06,9132.65,0.0550437,9146.51,503.203,-9090.46,1011.02,55.6061,-4124.49
171,1194.59,7931.9,9126.49,0.0521685,9138.93,476.548,-9088.68,957.018,52.636,-4121.29
171.5,1194.59,7926.05,9120.64,0.0492898,9131.73,449.918,-9086.96,903.14,49.6727,-4118.24
172,1194.59,7920.49,9115.08,0.0464077,9124.91,423.314,-9085.29,849.38,46.7159,-4115.36
172.5,1194.59,7915.25,9109.84,0.0435225,9118.48,396.733,-9083.69,795.734,43.7654,-4112.64
173,1194.59,7910.33,9104.92,0.0406343,9112.44,370.176,-9082.17,742.194,40.8207,-4110.08
173.5,1194.59,7905.73,9100.32,0.0377434,9106.8,343.64,-9080.72,688.754,37.8815,-4107.68
174,1194.59,7901.45,9096.04,0.0348499,9101.56,317.124,-9079.36,635.408,34.9474,-4105.46
174.5,1194.59,7897.49,9092.09,0.031954,9096.73,290.628,-9078.08,582.148,32.0181,-4103.41
175,1194.59,7893.88,9088.47,0.029056,9092.3,264.149,-9076.9,528.968,29.0933,-4101.53
175.5,1194.59,7890.59,9085.18,0.026156,9088.29,237.686,-9075.82,475.862,26.1724,-4099.82
176,1194.59,7887.65,9082.24,0.0232543,9084.69,211.239,-9074.85,422.821,23.2551,-4098.29
176.5,1194.59,7885.04,9079.63,0.0203509,9081.51,184.804,-9073.98,369.839,20.3411,-4096.94
177,1194.59,7882.78,9077.37,0.0174462,9078.75,158.382,-9073.22,316.908,17.4299,-4095.76
177.5,1194.59,7880.86,9075.45,0.0145403,9076.41,131.969,-9072.57,264.022,14.5212,-4094.76
178,1194.59,7879.29,9073.88,0.0116334,9074.49,105.565,-9072.03,211.173,11.6145,-4093.95
178.5,1194.59,7878.06,9072.65,0.00872576,9073,79.1678,-9071.62,158.354,8.70945,-4093.31
179,1194.59,7877.19,9071.78,0.0058175,9071.93,52.7757,-9071.32,105.557,5.80562,-4092.86
179.5,1194.59,7876.66,9071.25,0.00290885,9071.29,26.387,-9071.14,52.7746,2.90261,-4092.58
180,1194.59,7876.49,9071.08,4.08216e-17,9071.08,3.70296e-13,-9071.08,1.11089e-12,6.10988e-14,-4092.49
180.5,1194.61,7876.66,9071.27,-0.00290885,9071.31,-26.387,-9071.16,-52.7748,-2.90261,-4092.58
181,1194.67,7877.19,9071.85,-0.0058175,9072.01,-52.7761,-9071.39,-105.558,-5.80567,-4092.86
181.5,1194.76,7878.06,9072.83,-0.00872576,9073.17,-79.1693,-9071.79,-158.357,-8.70962,-4093.31
182,1194.9,7879.29,9074.18,-0.0116334,9074.8,-105.569,-9072.34,-211.18,-11.6149,-4093.95
182.5,1195.07,7880.86,9075.93,-0.0145403,9076.89,-131.976,-9073.04,-264.036,-14.522,-4094.76
183,1195.28,7882.78,9078.05,-0.0174462,9079.44,-158.394,-9073.9,-316.932,-17.4313,-4095.76
183.5,1195.53,7885.04,9080.57,-0.0203509,9082.45,-184.823,-9074.91,-369.877,-20.3432,-4096.94
184,1195.81,7887.65,9083.46,-0.0232543,9085.91,-211.267,-9076.07,-422.878,-23.2583,-4098.29
184.5,1196.14,7890.59,9086.73,-0.026156,9089.84,-237.727,-9077.37,-475.943,-26.1768,-4099.82
185,1196.5,7893.88,9090.38,-0.029056,9094.21,-264.204,-9078.81,-529.08,-29.0994,-4101.53
185.5,1196.9,7897.49,9094.4,-0.031954,9099.04,-290.701,-9080.39,-582.296,-32.0263,-4103.41
186,1197.34,7901.45,9098.79,-0.0348499,9104.32,-317.22,-9082.1,-635.6,-34.958,-4105.46
186.5,1197.82,7905.73,9103.55,-0.0377434,9110.03,-343.762,-9083.94,-688.999,-37.8949,-4107.68
