alpha_deg,M_Nm,M_minus_Ms_Nm,A_cum_J
135.5,220.558,137.819,-149.785
136,217.866,135.127,-148.594
136.5,215.164,132.425,-147.427
137,212.453,129.714,-146.283
137.5,209.734,126.995,-145.163
138,207.007,124.269,-144.067
138.5,204.275,121.536,-142.994
139,201.537,118.799,-141.946
139.5,198.795,116.057,-140.921
140,196.05,113.311,-139.92
140.5,193.302,110.563,-138.943
141,190.552,107.813,-137.99
141.5,187.801,105.062,-137.061
142,185.05,102.311,-136.157
142.5,182.3,99.561,-135.276
143,179.55,96.8118,-134.419
143.5,176.803,94.0646,-133.586
144,174.059,91.32,-132.777
144.5,171.317,88.5788,-131.992
145,168.58,85.8414,-131.231
145.5,165.847,83.1086,-130.494
146,163.12,80.3809,-129.781
146.5,160.397,77.6589,-129.091
147,157.682,74.943,-128.425
147.5,154.972,72.2338,-127.783
148,152.27,69.5318,-127.164
148.5,149.576,66.8374,-126.569
149,146.89,64.151,-125.998
149.5,144.212,61.473,-125.45
150,141.542,58.8039,-124.925
150.5,138.882,56.1439,-124.423
151,136.232,53.4934,-123.945
151.5,133.591,50.8528,-123.49
152,130.961,48.2223,-123.057
152.5,128.341,45.6021,-122.648
153,125.731,42.9925,-122.261
153.5,123.132,40.3938,-121.898
154,120.545,37.806,-121.556
154.5,117.968,35.2295,-121.238
155,115.403,32.6644,-120.942
155.5,112.849,30.1107,-120.668
156,110.307,27.5686,-120.416
156.5,107.777,25.0383,-120.186
157,105.258,22.5197,-119.979
157.5,102.752,20.0129,-119.793
158,100.257,17.518,-119.63
158.5,97.7736,15.035,-119.487
159,95.3025,12.5639,-119.367
159.5,92.8432,10.1046,-119.268
160,90.3958,7.6572,-119.191
160.5,87.9601,5.22152,-119.134
161,85.5361,2.79753,-119.099
161.5,83.1237,0.385154,-119.086
162,80.7229,-2.01572,-119.093
162.5,78.3334,-4.40522,-119.121
163,75.9551,-6.78348,-119.17
163.5,73.5879,-9.15064,-119.239
164,71.2317,-11.5069,-119.329
